full_match,partial_match,total,date
19,9,28,2024-06-30
20,9,29,2024-07-01
20,9,29,2024-07-02
20,9,29,2024-07-03
20,9,29,2024-07-04
20,9,29,2024-07-05
20,9,29,2024-07-06
20,9,29,2024-07-07
20,9,29,2024-07-08
20,9,29,2024-07-09
20,9,29,2024-07-10
20,9,29,2024-07-11
20,9,29,2024-07-12
20,9,29,2024-07-13
20,9,29,2024-07-14
20,9,29,2024-07-15
20,9,29,2024-07-16
20,9,29,2024-07-17
20,9,29,2024-07-18
20,9,29,2024-07-19
20,9,29,2024-07-20
20,9,29,2024-07-21
20,9,29,2024-07-22
20,9,29,2024-07-23
20,9,29,2024-07-24
20,9,29,2024-07-25
20,9,29,2024-07-26
20,9,29,2024-07-27
20,9,29,2024-07-28
20,9,29,2024-07-29
20,9,29,2024-07-30
20,9,29,2024-07-31
20,9,29,2024-08-01
20,9,29,2024-08-02
20,9,29,2024-08-03
20,9,29,2024-08-04
20,9,29,2024-08-05
20,9,29,2024-08-06
20,9,29,2024-08-07
20,9,29,2024-08-08
20,9,29,2024-08-09
20,9,29,2024-08-10
20,9,29,2024-08-11
20,9,29,2024-08-12
20,9,29,2024-08-13
20,9,29,2024-08-14
20,9,29,2024-08-15
20,9,29,2024-08-16
20,9,29,2024-08-17
20,9,29,2024-08-18
20,9,29,2024-08-19
20,9,29,2024-08-20
20,9,29,2024-08-21
20,9,29,2024-08-22
20,9,29,2024-08-23
20,9,29,2024-08-24
20,9,29,2024-08-25
20,9,29,2024-08-26
20,9,29,2024-08-27
20,9,29,2024-08-28
20,9,29,2024-08-29
20,9,29,2024-08-30
20,9,29,2024-08-31
20,9,29,2024-09-01
20,9,29,2024-09-02
20,9,29,2024-09-03
20,9,29,2024-09-04
20,9,29,2024-09-05
20,9,29,2024-09-06
20,9,29,2024-09-07
20,9,29,2024-09-08
20,9,29,2024-09-09
20,9,29,2024-09-10
20,9,29,2024-09-11
20,9,29,2024-09-12
20,9,29,2024-09-13
20,9,29,2024-09-14
20,9,29,2024-09-15
20,9,29,2024-09-16
20,9,29,2024-09-17
20,9,29,2024-09-18
20,9,29,2024-09-19
20,9,29,2024-09-20
20,9,29,2024-09-21
20,9,29,2024-09-22
20,9,29,2024-09-23
20,9,29,2024-09-24
20,9,29,2024-09-25
20,9,29,2024-09-26
20,9,29,2024-09-27
20,9,29,2024-09-28
20,9,29,2024-09-29
20,9,29,2024-09-30
20,9,29,2024-10-01
20,9,29,2024-10-02
20,9,29,2024-10-03
20,9,29,2024-10-04
20,9,29,2024-10-05
20,9,29,2024-10-06
20,9,29,2024-10-07
20,9,29,2024-10-08
20,9,29,2024-10-09
20,9,29,2024-10-10
20,9,29,2024-10-11
20,9,29,2024-10-12
20,9,29,2024-10-13
20,9,29,2024-10-14
20,9,29,2024-10-15
20,9,29,2024-10-16
20,9,29,2024-10-17
20,9,29,2024-10-18
20,9,29,2024-10-19
20,9,29,2024-10-20
20,9,29,2024-10-21
20,9,29,2024-10-22
20,9,29,2024-10-23
20,9,29,2024-10-24
20,9,29,2024-10-25
20,9,29,2024-10-26
20,9,29,2024-10-27
20,9,29,2024-10-28
20,9,29,2024-10-29
20,9,29,2024-10-30
20,9,29,2024-10-31
20,9,29,2024-11-01
26,9,35,2024-11-02
26,9,35,2024-11-03
27,9,36,2024-11-04
27,9,36,2024-11-05
27,9,36,2024-11-06
27,9,36,2024-11-07
27,9,36,2024-11-08
27,9,36,2024-11-09
27,9,36,2024-11-10
27,9,36,2024-11-11
27,9,36,2024-11-12
27,9,36,2024-11-13
27,9,36,2024-11-14
27,9,36,2024-11-15
27,9,36,2024-11-16
27,9,36,2024-11-17
27,9,36,2024-11-18
27,9,36,2024-11-19
27,9,36,2024-11-20
27,9,36,2024-11-21
27,9,36,2024-11-22
28,9,37,2024-11-23
28,9,37,2024-11-24
28,9,37,2024-11-25
28,9,37,2024-11-26
28,9,37,2024-11-27
28,9,37,2024-11-28
28,9,37,2024-11-29
28,9,37,2024-11-30
28,9,37,2024-12-01
28,9,37,2024-12-02
28,9,37,2024-12-03
28,9,37,2024-12-04
28,9,37,2024-12-05
28,9,37,2024-12-06
28,9,37,2024-12-07
28,9,37,2024-12-08
28,9,37,2024-12-09
28,9,37,2024-12-10
28,9,37,2024-12-11
28,9,37,2024-12-12
28,9,37,2024-12-13
28,9,37,2024-12-14
28,9,37,2024-12-15
29,9,38,2024-12-16
29,9,38,2024-12-17
29,9,38,2024-12-18
29,9,38,2024-12-19
29,9,38,2024-12-20
29,9,38,2024-12-21
29,9,38,2024-12-22
29,9,38,2024-12-23
29,9,38,2024-12-24
29,9,38,2024-12-25
29,9,38,2024-12-26
29,9,38,2024-12-27
31,9,40,2024-12-28
31,9,40,2024-12-29
31,9,40,2024-12-30
31,9,40,2024-12-31
31,9,40,2025-01-01
31,9,40,2025-01-02
31,9,40,2025-01-03
31,9,40,2025-01-04
31,9,40,2025-01-05
31,9,40,2025-01-06
31,9,40,2025-01-07
31,9,40,2025-01-08
31,9,40,2025-01-09
31,9,40,2025-01-10
31,9,40,2025-01-11
31,9,40,2025-01-12
31,9,40,2025-01-13
31,9,40,2025-01-14
31,9,40,2025-01-15
31,9,40,2025-01-16
31,9,40,2025-01-17
31,9,40,2025-01-18
31,9,40,2025-01-19
31,9,40,2025-01-20
31,9,40,2025-01-21
31,9,40,2025-01-22
31,9,40,2025-01-23
31,9,40,2025-01-24
31,9,40,2025-01-25
31,9,40,2025-01-26
31,9,40,2025-01-27
31,9,40,2025-01-28
31,9,40,2025-01-29
31,9,40,2025-01-30
31,9,40,2025-01-31
31,9,40,2025-02-01
31,9,40,2025-02-02
31,9,40,2025-02-03
31,9,40,2025-02-04
31,9,40,2025-02-05
31,9,40,2025-02-06
31,9,40,2025-02-07
31,9,40,2025-02-08
31,9,40,2025-02-09
31,9,40,2025-02-10
31,9,40,2025-02-11
31,9,40,2025-02-12
31,9,40,2025-02-13
31,9,40,2025-02-14
31,9,40,2025-02-15
31,9,40,2025-02-16
31,9,40,2025-02-17
31,9,40,2025-02-18
31,9,40,2025-02-19
31,9,40,2025-02-20
31,9,40,2025-02-21
31,9,40,2025-02-22
31,9,40,2025-02-23
31,9,40,2025-02-24
31,9,40,2025-02-25
31,9,40,2025-02-26
31,9,40,2025-02-27
31,9,40,2025-02-28
31,9,40,2025-03-01
31,9,40,2025-03-02
31,9,40,2025-03-03
31,9,40,2025-03-04
31,9,40,2025-03-05
31,9,40,2025-03-06
31,9,40,2025-03-07
31,9,40,2025-03-08
31,9,40,2025-03-09
31,9,40,2025-03-10
31,9,40,2025-03-11
31,9,40,2025-03-12
31,9,40,2025-03-13
31,9,40,2025-03-14
31,9,40,2025-03-15
31,9,40,2025-03-16
31,9,40,2025-03-17
31,9,40,2025-04-25
31,9,40,2025-04-26
31,9,40,2025-04-27
31,9,40,2025-04-28
31,9,40,2025-04-29
31,9,40,2025-04-30
31,9,40,2025-05-01
31,9,40,2025-05-02
31,9,40,2025-05-03
